iter	Passed	Remaining
401	16284	84985
402	16320	84923
403	16362	84889
404	16399	84829
405	16441	84800
406	16483	84763
407	16523	84722
408	16568	84705
409	16612	84681
410	16652	84639
411	16695	84609
412	16739	84587
413	16780	84548
414	16825	84533
415	16865	84491
416	16910	84470
417	16949	84421
418	16983	84349
419	17025	84317
420	17069	84292
421	17107	84242
422	17145	84188
423	17186	84150
424	17229	84120
425	17264	84052
426	17307	84025
427	17347	83981
428	17395	83975
429	17438	83947
430	17479	83909
431	17520	83871
432	17559	83825
433	17597	83771
434	17649	83785
435	17688	83734
436	17725	83680
437	17765	83635
438	17801	83573
439	17838	83517
440	17880	83481
441	17924	83459
442	17967	83427
443	18008	83389
444	18048	83345
445	18086	83295
446	18148	83351
447	18183	83289
448	18223	83242
449	18264	83206
450	18310	83187
451	18354	83165
452	18393	83114
453	18435	83080
454	18478	83050
455	18519	83011
456	18561	82980
457	18620	83018
458	18667	83006
459	18722	83030
460	18769	83016
461	18817	83010
462	18879	83060
463	18929	83063
464	18992	83115
465	19037	83093
466	19079	83058
467	19134	83080
468	19183	83074
469	19281	83278
470	19321	83236
471	19368	83217
472	19430	83269
473	19478	83257
474	19519	83214
475	19566	83199
476	19604	83145
477	19638	83074
478	19679	83029
479	19717	82976
480	19752	82911
481	19788	82849
482	19833	82823
483	19877	82794
484	19933	82815
485	19971	82761
486	20011	82715
487	20060	82707
488	20102	82671
489	20146	82641
490	20186	82597
491	20229	82563
492	20270	82519
493	20307	82464
494	20347	82418
495	20385	82363
496	20425	82317
497	20468	82284
498	20506	82232
499	20548	82193
500	20590	82154
501	20631	82115
502	20673	82078
503	20713	82030
504	20760	82013
505	20802	81978
506	20840	81925
507	20882	81884
508	20924	81847
509	20966	81810
510	21005	81761
511	21064	81788
512	21112	81775
513	21149	81715
514	21192	81684
515	21239	81666
516	21283	81633
517	21328	81606
518	21374	81584
519	21424	81577
520	21482	81601
521	21524	81563
522	21584	81590
523	21625	81548
524	21665	81503
525	21704	81454
526	21740	81392
527	21786	81369
528	21830	81339
529	21869	81289
530	21911	81248
531	21946	81185
532	21987	81141
533	22024	81084
534	22066	81048
535	22111	81020
536	22147	80961
537	22184	80903
538	22219	80839
539	22260	80796
540	22298	80744
541	22340	80707
542	22380	80660
543	22419	80611
544	22461	80572
545	22505	80542
546	22544	80491
547	22589	80464
548	22627	80411
549	22666	80363
550	22703	80306
551	22747	80275
552	22789	80238
553	22829	80190
554	22875	80168
555	22911	80107
556	22950	80059
557	22991	80015
558	23030	79966
559	23068	79915
560	23110	79878
561	23146	79818
562	23187	79777
563	23229	79739
564	23267	79686
565	23308	79644
566	23347	79594
567	23391	79565
568	23433	79526
569	23470	79470
570	23514	79438
571	23556	79400
572	23601	79371
573	23649	79354
574	23685	79295
575	23727	79257
576	23771	79225
577	23806	79161
578	23852	79139
579	23894	79099
580	23945	79089
581	23983	79038
582	24023	78992
583	24061	78942
584	24103	78904
585	24138	78841
586	24177	78793
587	24213	78735
588	24249	78678
589	24284	78617
590	24325	78573
591	24363	78521
592	24403	78476
593	24441	78427
594	24483	78388
595	24523	78343
596	24563	78300
597	24598	78238
598	24634	78181
599	24674	78134
600	24721	78114
601	24764	78076
602	24799	78016
603	24844	77987
604	24882	77936
605	24924	77898
606	24967	77863
607	25007	77819
608	25042	77758
609	25084	77719
610	25125	77679
611	25167	77639
612	25203	77584
613	25246	77547
614	25284	77499
615	25329	77468
616	25367	77417
617	25408	77377
618	25446	77326
619	25484	77275
620	25525	77235
621	25566	77193
622	25605	77144
623	25646	77103
624	25686	77060
625	25722	77004
626	25769	76979
627	25808	76931
628	25843	76872
629	25881	76824
630	25925	76789
631	25972	76767
632	26010	76715
633	26049	76669
634	26087	76620
635	26127	76575
636	26176	76558
637	26211	76499
