iter	MultiClass
0	1.038539173
1	0.9917134312
2	0.9504590401
3	0.9148134842
4	0.8841909988
5	0.8581534605
6	0.835723126
7	0.8149516804
8	0.7940548596
9	0.7757814418
10	0.7593069977
11	0.7444579962
12	0.7310344932
13	0.7197300334
14	0.7092637499
15	0.6982796057
16	0.6884105288
17	0.679912662
18	0.6716008341
19	0.6645669934
20	0.6583083657
21	0.6524672065
22	0.6468383617
23	0.6417840705
24	0.6373485362
25	0.6330506755
26	0.6292012181
27	0.6253080505
28	0.6219491763
29	0.6187989332
30	0.6164061004
31	0.61329628
32	0.6107966453
33	0.608687414
34	0.6066248165
35	0.6045348558
36	0.6024586768
37	0.6006879005
38	0.5992138944
39	0.5974839134
40	0.5958373988
41	0.5941796798
42	0.592723728
43	0.590918363
44	0.5899338033
45	0.5885207182
46	0.5873853455
47	0.5861663658
48	0.584931159
49	0.5838123814
50	0.5827428953
51	0.5818621456
52	0.5812191703
53	0.5803736857
54	0.579799616
55	0.578698529
56	0.5775967962
57	0.5765997776
58	0.575895779
59	0.5750343708
60	0.5742899699
61	0.573466193
62	0.5725486881
63	0.5718619831
64	0.5710764395
65	0.570441513
66	0.5697789709
67	0.5689092967
68	0.5683962022
69	0.5676292247
70	0.5665894086
71	0.5656217023
72	0.5652297293
73	0.5646686028
74	0.5640736111
75	0.5630477757
76	0.5625545043
77	0.5621133521
78	0.5616078075
79	0.5610824731
80	0.5606947747
81	0.560015153
82	0.5595515012
83	0.5588492541
84	0.5583423137
85	0.557596951
86	0.557141964
87	0.5563727269
88	0.5559492401
89	0.555468493
90	0.5550290442
91	0.5543900038
92	0.5538745711
93	0.5535570853
94	0.553106828
95	0.5525588843
96	0.5520046886
97	0.5515188179
98	0.5511040123
99	0.5507287105
100	0.5503822144
101	0.5499339328
102	0.54960514
103	0.5491031069
104	0.5487973529
105	0.5482194557
106	0.5476961993
107	0.547295883
108	0.5470361266
109	0.5466632565
110	0.5462460889
111	0.5457569182
112	0.5450874848
113	0.5444083411
114	0.5438175595
115	0.5434589621
116	0.5430022816
117	0.5427198438
118	0.5422328572
119	0.5419211087
120	0.5416122675
121	0.5412620174
122	0.5408907519
123	0.5403757297
124	0.5400052185
125	0.5396993387
126	0.5393754215
127	0.5390281927
128	0.5386037279
129	0.5381772693
130	0.5374643715
131	0.5370741274
132	0.5367019428
133	0.5360895629
134	0.5357319157
135	0.5352691568
136	0.534985046
137	0.5344942731
138	0.5339010158
139	0.5335885352
140	0.5330113629
141	0.5326488586
142	0.5323223347
143	0.5319169341
144	0.5313025744
145	0.5309499652
146	0.5306399117
147	0.5303635888
148	0.5299474455
149	0.5295979343
150	0.5292226179
151	0.5289874443
152	0.5283991798
153	0.528096488
154	0.5276298879
155	0.5272406152
156	0.5267571712
157	0.5263505217
158	0.5258268558
159	0.5255585039
160	0.5252400601
161	0.5249583774
162	0.5246655162
163	0.5244640034
164	0.5241541373
165	0.5238156217
166	0.5235392764
167	0.5231416198
168	0.5225382256
169	0.5223365875
170	0.5220655362
171	0.5217888023
172	0.5214754133
173	0.5211602764
174	0.5207727746
175	0.5201361499
176	0.5196415867
177	0.519289112
178	0.5187295028
179	0.5184455706
180	0.5181581692
181	0.517713421
182	0.5172754393
183	0.5169688246
184	0.5166560904
185	0.5160963629
186	0.5156053949
187	0.515299548
188	0.5150563815
189	0.5147622784
190	0.5145539959
191	0.5142233902
192	0.5139266585
193	0.5134848453
194	0.5132437877
195	0.512969516
196	0.5126142259
197	0.5124657287
198	0.5121466621
199	0.5119270705
200	0.5117059869
201	0.5113468119
202	0.5108929654
203	0.5106096631
204	0.5102570718
205	0.5100328288
206	0.5097864914
207	0.5093478065
208	0.5091096349
209	0.5088929104
210	0.5085378268
211	0.5080616876
212	0.5077463347
213	0.5074334307
214	0.5071217274
215	0.5068264707
216	0.5064523098
217	0.5060856789
218	0.5058146272
219	0.5056563331
220	0.5052572341
221	0.5049462247
222	0.5046783554
223	0.5044737182
224	0.5041296149
225	0.5039033335
226	0.5035035444
227	0.5032357655
228	0.5029391762
229	0.5025988384
230	0.5023938767
231	0.5020075233
232	0.5016364883
233	0.501321589
234	0.5010523168
235	0.5007490548
236	0.5004414485
237	0.5003192033
238	0.4998864654
239	0.4996351683
240	0.4992564683
241	0.4991357282
242	0.4985872797
243	0.498350912
244	0.4982101819
245	0.4979229027
246	0.4977575944
247	0.4974433058
248	0.4970982466
249	0.4967422977
250	0.4966324596
251	0.4963371468
252	0.496107301
253	0.4958672288
254	0.4955280058
255	0.4952436337
256	0.4950628731
257	0.4948988001
258	0.494580904
259	0.4943560627
260	0.494025689
261	0.4938897644
262	0.4936659037
263	0.4933771465
264	0.4930171823
265	0.4927286946
266	0.4924232224
267	0.4921958441
268	0.4918712102
269	0.4916676647
270	0.4912908516
271	0.491051113
272	0.4908740451
273	0.4907261844
274	0.49045858
275	0.490088747
276	0.4898582128
277	0.4894927162
278	0.4893608513
279	0.4890458213
280	0.4889029618
281	0.4886215497
282	0.4882905357
283	0.4880352526
284	0.487748732
285	0.4875250002
286	0.4872671041
287	0.4869489875
288	0.4868233717
289	0.4865902008
290	0.4864143184
291	0.4862381659
292	0.4859773831
293	0.4857457089
294	0.4854139957
295	0.4851689025
296	0.4849198419
297	0.4847627849
298	0.4844382527
299	0.4841414129
300	0.4838419548
301	0.4834381548
302	0.4832065394
303	0.4828780089
304	0.4826367931
305	0.4824236793
306	0.4820009404
307	0.4817588329
308	0.4813972156
309	0.481164274
310	0.4810638368
311	0.4807581502
312	0.480544726
313	0.4803593298
314	0.4802312593
315	0.4799844987
316	0.4797964504
317	0.4795943474
318	0.4793641312
319	0.479107775
320	0.4789845079
321	0.4788625879
322	0.4786704011
323	0.478411913
324	0.4782453717
325	0.4780416752
326	0.4778863583
327	0.4776898239
328	0.4773973122
329	0.477164064
330	0.4767693294
331	0.4766150547
332	0.4763714885
333	0.4761414643
334	0.4758258494
335	0.4755074113
336	0.4752898865
337	0.4751568084
338	0.474913765
339	0.4747007764
340	0.4744425092
341	0.4742777535
342	0.474102518
343	0.4738558889
344	0.4735383543
345	0.4732178312
346	0.4730979124
347	0.4728776234
348	0.4726897359
349	0.4723632573
350	0.4721888576
351	0.4720116793
352	0.4717368178
353	0.4716316238
354	0.4714548307
355	0.4712967908
356	0.4711007999
357	0.4709276038
358	0.4707509508
359	0.4705812866
360	0.470305259
361	0.4702232526
362	0.469937361
363	0.4697889795
364	0.4694702633
365	0.469353167
366	0.4691199751
367	0.4688107711
368	0.4687003776
369	0.4683852278
370	0.4681839323
371	0.4679989803
372	0.4678170008
373	0.4676206571
374	0.4673436361
375	0.4671419499
376	0.46687847
377	0.4665551454
378	0.4663831025
379	0.4660527657
380	0.465777856
381	0.4656279824
382	0.4653508977
383	0.4650346511
384	0.4647377794
385	0.4646086352
386	0.4644081775
387	0.4642144168
388	0.4640695272
389	0.4639097027
390	0.4637267504
391	0.4635570344
392	0.463381738
393	0.4631929955
394	0.462996775
395	0.4628396022
396	0.462508946
397	0.4623730341
398	0.462177087
399	0.4619620081
400	0.4616438412
401	0.4615061757
402	0.4611973155
403	0.461011064
404	0.4607321029
405	0.4605778983
406	0.4602692826
407	0.4600679864
408	0.4599355441
409	0.4598103529
410	0.4597522004
411	0.4595264562
412	0.4593802339
413	0.4591574857
414	0.458978522
415	0.4588229318
416	0.4586449701
417	0.4584254551
418	0.4581205453
419	0.4578073054
420	0.4575570939
421	0.4574324523
422	0.4571213286
423	0.4568839404
424	0.4566731067
425	0.4565057101
426	0.456250781
427	0.4560469767
428	0.455848071
429	0.4555943155
430	0.4552768279
431	0.4551646697
432	0.4548610001
433	0.4545633942
434	0.4544088965
435	0.4542668079
436	0.4540030802
437	0.4538001172
438	0.4535274513
439	0.4532982014
440	0.4530216365
441	0.4528565146
442	0.4526982541
443	0.4524993161
444	0.4523559836
445	0.4521257554
446	0.4519215925
447	0.451630168
448	0.451274297
449	0.4511005788
450	0.4507148499
451	0.4504994567
452	0.4502486879
453	0.449992922
454	0.449867253
455	0.4496482192
456	0.4493815282
457	0.4490929098
458	0.4488129218
459	0.4485542605
460	0.448414308
461	0.4481168347
462	0.4480409655
463	0.4478949692
464	0.4476783952
465	0.4474666096
466	0.4473011496
467	0.4470599643
468	0.4469111025
469	0.4466737017
470	0.4464202636
